0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:27:47 -0400] "GET /jupiter/recommendation?user_id=1111&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 403 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:27:47 -0400] "GET /jupiter/recommendation?user_id=1111&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 403 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:27:49 -0400] "GET /jupiter/recommendation?user_id=1111&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 403 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:27:50 -0400] "GET /jupiter/search?user_id=1111&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 403 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:27:51 -0400] "GET /jupiter/recommendation?user_id=1111&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 403 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:27:52 -0400] "GET /jupiter/history?user_id=1111 HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:27:52 -0400] "GET /jupiter/recommendation?user_id=1111&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 403 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:27:53 -0400] "GET /jupiter/recommendation?user_id=1111&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 403 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:27:54 -0400] "GET /jupiter/recommendation?user_id=1111&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 403 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:27:54 -0400] "GET /jupiter/recommendation?user_id=1111&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 403 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:27:56 -0400] "GET /jupiter/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:27:56 -0400] "GET /jupiter/scripts/apis.js HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:27:56 -0400] "GET /jupiter/scripts/utils.js HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:27:56 -0400] "GET /jupiter/login HTTP/1.1" 403 28
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:27:56 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:28:21 -0400] "POST /jupiter/register HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:28:29 -0400] "POST /jupiter/login HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:28:35 -0400] "GET /jupiter/search?user_id=3333&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 200 3364
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:28:37 -0400] "POST /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:28:38 -0400] "POST /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:28:40 -0400] "POST /jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:28:42 -0400] "GET /jupiter/history?user_id=3333 HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:28:45 -0400] "GET /jupiter/recommendation?user_id=3333&lat=42.4125473&lon=-71.1329569 HTTP/1.1" 200 964
